ลำดับที่,เลขที่ใบอนุญาต,ชื่อสถานพยาบาล,ผู้ประกอบกิจการ,ผู้ดำเนินการสถานพยาบาล,ที่อยู่,โทรศัพท์,หมายเหตุ,ประเภท,Facebookpage,Aboutfrompage,เบอร์โทรศัพท์,Urlfacebookpage,UrlProfile,เวลาเช็คอินล่าสุด,สถานะ,,,,,,
11,65101000143,คลินิกแพทย์วิโรจน์,นพ.วิโรจน์     กิจจาวิจิตร,นพ. วิโรจน์     กิจจาวิจิตร,212/83-84 ถ. บรมไตรฯ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,055-241106,,เวชกรรม,คลีนิกแพทย์วิโรจน์ กิจจาวิจิตร,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B9%82%E0%B8%A3%E0%B8%88%E0%B8%99%E0%B9%8C-%E0%B8%81%E0%B8%B4%E0%B8%88%E0%B8%88%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B4%E0%B8%95%E0%B8%A3/421760501572714,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/28471610_578328615839389_5033425972467657930_n.jpg?_nc_cat=110&_nc_eui2=AeE3S6RlR9LX5b9ZuLpvTpAeXR-6UFRltjwzwWVqVxK2bJnGnb3lCaF6xZPXLVT_uTFYZ4DIi_3qvZuRnkUXrpKorBjeIzY-zTNdKUVen17IkA&_nc_oc=AQnhefCN6hCHWaxe3l8uiWha4094xI_0EUbwe6UYynjSTI55tpMTEMw-bCQAnsJCdRoPmpxWd3z3aja8E-MQCYja&_nc_ht=scontent.fphs2-1.fna&oh=0708f051e733b6b982e91118182b707b&oe=5E1B3781,16/10/2019,เพจไม่เป็นทางการ,,11,,,,
12,65101000343,คลินิกนายแพทย์อดิศักดิ์,นพ. อดิศักดิ์     ศักดิ์ศรีพาณิชย์,นพ. อดิศักดิ์     ศักดิ์ศรีพาณิชย์,425 หมู่ 1 ต. วังทอง อ. วังทอง จ. พิษณุโลก  ,055-311362,,เวชกรรม,คลินิกนพ.อดิศักดิ์ ศักดิ์ศรีพาณิชย์,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%99%E0%B8%9E%E0%B8%AD%E0%B8%94%E0%B8%B4%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B9%8C-%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B9%8C%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%9E%E0%B8%B2%E0%B8%93%E0%B8%B4%E0%B8%8A%E0%B8%A2%E0%B9%8C/342510692487530,,9/10/2019,เพจไม่เป็นทางการ,,12,,,,
13,65101000543,คลินิกศิริพร-สาโรจน์การแพทย์,พญ. ศิริพร     สันติวรวุฒิ,พญ. ศิริพร     สันติวรวุฒิ,37/152 ถ.บรมไตรฯ ต.ในเมือง อ. เมือง จ. พิษณุโลก,055-241049,,เวชกรรม,,,,,,,,,13,,,,
14,65101000643,คลินิกแพทย์สมพร,พญ.สมพร    หวังเรืองสถิตย์,พญ. สมพร    หวังเรืองสถิตย์,183/37 ถ. เอกาทศรถ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,055-219938,,เวชกรรม,,,,,,,,,14,,,,
15,65101000843,คลินิกนายแพทย์สุจิณ,นพ.สุจิณ      สรรพมงคล,นพ.สุจิณ      สรรพมงคล,55/32 ถ. ศรีธรรมฯ ต. ในเมืองอ. เมือง จ. พิษณุโลก ,,,เวชกรรม,คลินิกแพทย์สุจิณ,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%88%E0%B8%B4%E0%B8%93/150139581855312,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.53.320.320a/p320x320/66602963_2404700029598583_3008303932884647936_n.jpg?_nc_cat=101&_nc_eui2=AeFzXxV6x7goGyV58pTu1GHYTPtUV-2_eVrSlTcsxMp4Kc2pBvpkoWoZHRH8j02VhmTHeIIhN417-cDVHyWr_-pYFoFflyD31FlYv1P5TD_DpA&_nc_oc=AQm7TsDVLdMsLqVGtvAdFhNBrKyD57Tab00Mxwrftbpa4bgXB7I599QewVrOR2MPfIw4Ye2EnlJ56upXc1GyS44N&_nc_ht=scontent.fphs2-1.fna&oh=b4124276d027d0b7b813a98671551465&oe=5E2BC2C1,14/10/2019,เพจไม่เป็นทางการ,,15,,,,
16,65101000344,คลินิกนายแพทย์สุรพงศ์,นพ.สุรพงศ์     สุขุปัญญารักษ์,นพ.สุรพงศ์     สุขุปัญญารักษ์,14/5 ถ. ราเมศวร ต. ในเมือง อ. เมือง จ. พิษณุโลก,055-301782,,เวชกรรม,,,,,,,,,16,,,,
17,65101000844,คลินิกแพทย์เกษม,นพ. เกษม      เวชคุปต์,นพ. เกษม      เวชคุปต์,195 ถ. พุทธบูชา ต.ในเมือง อ. เมือง จ. พิษณุโลก,055-252713,,เวชกรรม,,,,,,,,,17,,,,
18,65101001144,คลินิกแพทย์พัลลภ-นุสรา 1,นางนุสรา    พงษ์สุทธิรักษ์,นพ. พัลลภ    พงษ์สุทธิรักษ์,34/15 ถ. สุรสีห์ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,055-225445,,เวชกรรม,คลีนิคแพทย์พัลลภ-นุสรา,สูตินรีแพทย์,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%9E%E0%B8%B1%E0%B8%A5%E0%B8%A5%E0%B8%A0-%E0%B8%99%E0%B8%B8%E0%B8%AA%E0%B8%A3%E0%B8%B2/338025823274916,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.0.320.320a/p320x320/22728719_1325292017598222_3591569393238730134_n.jpg?_nc_cat=102&_nc_eui2=AeF0IahCE-b_zRj4QzsZKW_-1B-fyexqoVEWRGl_SDM0ObP3QLhlicjICT2Wak4cNlI1lQFC4GWL-_dGHAtfFFB6ZzJBmia04ljFImuuq9GKCA&_nc_oc=AQlkYzsZpXndJGoQhBbblJkEniVOh4gaI2zbdfaoBBEalAex309iKF-v08K9rtdcVadnzzFlsAZitghJVFR6MUby&_nc_ht=scontent.fphs2-1.fna&oh=09210668b6d10724f3de24be243044b7&oe=5E1D2011,18/10/2019,เพจไม่เป็นทางการ,,18,,,,
19,65101001244,คลินิกแพทย์โชคดี,นพ.โชคดี     จุลภาคี,นพ. โชคดี     จุลภาคี,34/24 ถ. สุรสีห์ ต.ในเมือง อ. เมือง จ. พิษณุโลก,,,เวชกรรม,คลีนิคหมอโชคดี สุรสีห์,ศูนย์การแพทย์,081 532 3044,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B9%82%E0%B8%8A%E0%B8%84%E0%B8%94%E0%B8%B5/279856595788768,,17/10/2019,เพจไม่เป็นทางการ,,19,,,,
20,65101000745,คลินิกนายแพทย์ธงชัย,นพ.ธงชัย      พลศรีสุทธิกุล,นพ.ธงชัย      พลศรีสุทธิกุล,70 ถ. พญาลิไท ต.ในเมือง อ. เมือง จ. พิษณุโลก,055-259321,,เวชกรรม,,,,,,,,,20,,,,
21,65101000346,คลินิกแพทย์จีรนันท์-สันติ,พญ.จีรนันท์ วีรกุล,พญ.จีรนันท์ จีรกุล,74 ถ.ราเมศวร อ.เมือง จ.พิษณุโลก ,055-210764,,เวชกรรม,,,,,,,,,21,,,,
22,65101000247,คลินิกขจรการแพทย์1,นพ.ขจร สุนทราติวัฒน์,นพ.ขจร สุนทราติวัฒน์,59/58 ถ.ศรีธรรมไตรปิฎก อ.เมือง จ.พิษณุโลก,055-232388,,เวชกรรม,คลินิกขจรการแพทย์1,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%82%E0%B8%88%E0%B8%A3%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C1/180626172759536,,20/7/2019,เพจไม่เป็นทางการ,,22,,,,
23,65101000447,คลินิกเวชกรรมแพทย์หญิงพิริยา,พญ.พิริยา ถนอมรัตน์,พญ.พิริยา ถนอมรัตน์,34-34/1 ถ.เจ้าพระยาสุรสีห์ อ.เมือง จ.พิษณุโลก ,055-232266,,เวชกรรม,คลินิก หมอพิริยาสูตินรีเวชกรรม,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%9E%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%A2%E0%B8%B2%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%B4%E0%B8%99%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A7%E0%B8%8A%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1/481026565366960,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.53.320.320a/p320x320/33693117_1687103228010181_5853412891071348736_n.jpg?_nc_cat=103&_nc_eui2=AeF7yFGWeSXz_XSi5ZZOTYbuwheFrZKPr2gAcjHKQT5BJob-TIAUgMsVoq0qjIYkc2E8r3ktdVZZzuQNplu59DBUJvH6YXwqOKaK894h8gsZRg&_nc_oc=AQkTnhACmC-W07k6OSY3QVSh2NKSsGSb4GMFx46_-N4Wd0F4jv5MRYSRo3gzxaWDlwL3kp4AE0dIVOM0duuiwTZd&_nc_ht=scontent.fphs2-1.fna&oh=934cddd7c9829566c2952ed108ddd34c&oe=5E2910C4,15/10/2019,เพจไม่เป็นทางการ,,23,,,,
24,65101001047,คลินิกแพทย์วิบูล,นพ. วิบูลย์ อุทัยแสงสุข,นพ. วิบูลย์ อุทัยแสงสุข,428/4 ม.4 ต.วัดโบสถ์ อ.วัดโบสถ์ จ.พิษณุโลก ,,,เวชกรรม,,,,,,,,,24,,,,
25,65101000258,คลินิกพรสวรรค์-ประเสริฐการแพทย์,นพ.ประเสริฐ เจียประเสริฐ,นพ.ประเสริฐ เจียประเสริฐ,199/2 ถ.บรมไตรโลกนารถ ต.ในเมือง อ.เมือง จ.พิษณุโลก ,055-259323,,เวชกรรม,คลีกนิกหมอประเสริฐ-พรสวรรค์,,055 259 323,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%81%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%90-%E0%B8%9E%E0%B8%A3%E0%B8%AA%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%84%E0%B9%8C/773259602845842,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/23843652_1383600215096273_1302457345781745206_n.jpg?_nc_cat=103&_nc_eui2=AeEmCXOLsUTtvucjiLaNsqZBhc1L4K_dGTvylp43-gHEmxbm52n6dwErEzKJl3jYhIP3wHbzsgaNwJDyj1sU4ZYUhRroJrW6htmyNrjedJ5oSg&_nc_oc=AQnp5L0mB0EuJ6XpcHuzsubuN42Slb5l46-g7DaWFa1euebd1jkkoIsOdAqKy7JMdiLWRXUjuY1p5W47mSKd3q78&_nc_ht=scontent.fphs2-1.fna&oh=639adaf4fc6ed1a2b1ce15d4a7c75a9b&oe=5E1D77E9,15/10/2019,เพจไม่เป็นทางการ,,25,,,,
26,65101000748,คลินิกแพทย์สุจรี,พญ.สุจรี กุหลาบเพชร,พญ.สุจรี กุหลาบเพชร,145/90-91 ม.1  ต.สมอแข อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกแพทย์สุจรี รับบัตรประกันสังคม รพ.พุทธชินราช,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%88%E0%B8%A3%E0%B8%B5-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%9A%E0%B8%B1%E0%B8%95%E0%B8%A3%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B8%B1%E0%B8%87%E0%B8%84%E0%B8%A1-%E0%B8%A3%E0%B8%9E%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%8A%E0%B8%B4%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%8A/213398329060781,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/72576230_901419520258655_2943866332384329728_n.jpg?_nc_cat=100&_nc_eui2=AeHPdE5sdkC_s4SySxNlinjSZ2LSXVpd0z327DuRKAIV8s_aoVJN__-VAnAeSxyVRITz_J3uw_5Vc9BshCXqVKGihcIlJKjlZ77fF7WWy2ugOg&_nc_oc=AQkd4L2Oa3_guT934VEp8-XR230MKtfOPx0DD-u9ZzYsIQZBuSyrroVDdYzAFgZOdqf9UPz9R7OC7GDDezL0ZlT_&_nc_ht=scontent.fphs2-1.fna&oh=3e378bf0c8dc216f648f8620f4d24565&oe=5E2B2CB0,15/10/2019,เพจไม่เป็นทางการ,,26,,,,
27,65101001149,คลินิกแพทย์สาวิตรี,พญ.สาวิตรี  ตันเจริญ,พญ.สาวิตรี  ตันเจริญ,209/66 ถ.บรมไตรโลกนารถ ต.ในเมือง อ.เมือง จ.พิษณุโลก ,055-219344,,เวชกรรม,คลีนิกแพทย์สาวิตรี : ประทุมทอง,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AA%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%95%E0%B8%A3%E0%B8%B5/316268119169755,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c53.0.320.320a/p320x320/22089758_1488335061234852_1799014043062851149_n.jpg?_nc_cat=107&_nc_eui2=AeGTeb8ng-x0RbLOslwodThrNLd-2MsHxJGQMhwz9BkudLGUaFbAmP3aFclE3fqW1WKyoCq9BbfaE2kElbT6P-cyzYIz-0X-7MslBeKZ9ONhDA&_nc_oc=AQmQ0r5rHLlW45yIc-wwFNqNilO_CdRQE3qxJ5ufu-DGRt3EvksaZ8mFEauWUHNlGGFoeC2LFHpDreMWRsLUG_UY&_nc_ht=scontent.fphs2-1.fna&oh=49543de3d1d28d3df9c386357042a642&oe=5E5A234F,20/8/2019,เพจไม่เป็นทางการ,,27,,,,
28,65101000450,สี่แยกคลินิกการแพทย์,นพ.ทรงยศ สรรพมงคล,นพ.ทรงยศ สรรพมงคล,204/1 ถ.ประชาอุทิศ ต.ในเมือง อ.เมือง จ.พิษณุโลก ,055-243734,,เวชกรรม,,,,,,,,,28,,,,
29,65101000550,คลินิกแพทย์ชินพัฒน์-แพทย์ปฐม,นพ.ชินพัฒน์ โภคศิริ,นพ.ชินพัฒน์ โภคศิริ,99/24 ถ.พระองค์ดำ ต.ในเมือง อ.เมือง จ.พิษณุโลก ,,,เวชกรรม,คลินิกแพทย์ชินพัฒน์-แพทย์ปฐม,,055 282 718,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%8A%E0%B8%B4%E0%B8%99%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B9%8C-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%9B%E0%B8%90%E0%B8%A1/233743436640747?rf=1360085014061858,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/12369198_889787201129161_8407855852485180661_n.jpg?_nc_cat=104&_nc_eui2=AeE7OFC2T4HYbpqFq4wDddu7b8TbQRV3-E7qycslq681Os75mIskboAmy1xbpLfca33F520SSbEFVNGvve5ijqqchkT7ckIoyWPh7fGFWSvnTg&_nc_oc=AQmPUGufC72DRmbLbTGZqVzCB_atcNmkHdfz1DbAR7AOILE9dJIRflYKaWbjsG342LlqSI67muojn4NWqm-xAbdE&_nc_ht=scontent.fphs2-1.fna&oh=8eb05c2c8e7dbb4a5c48f6351188fa72&oe=5E1A603A,16/10/2019,เพจไม่เป็นทางการ,,29,,,,
30,65101000850,คลินิกนายแพทย์สุจิณ 2,นพ.สุจิณ      สรรพมงคล,นพ.สุจิณ      สรรพมงคล,80/309 ถ.พระร่วง ต.ในเมือง อ.เมือง จ.พิษณุโลก ,,,เวชกรรม,คลินิกแพทย์สุจิณ,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%88%E0%B8%B4%E0%B8%93/150139581855312?__tn__=%2CdHH-R-R&eid=ARDk4DyUYTfNsqyTNeotlVMiYNZFZioCHANOWfn3dEXvwjzq13k3XVc2qO40o3XkCkkM1S3cqUGLIq-6,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.53.320.320a/p320x320/66602963_2404700029598583_3008303932884647936_n.jpg?_nc_cat=101&_nc_eui2=AeFzXxV6x7goGyV58pTu1GHYTPtUV-2_eVrSlTcsxMp4Kc2pBvpkoWoZHRH8j02VhmTHeIIhN417-cDVHyWr_-pYFoFflyD31FlYv1P5TD_DpA&_nc_oc=AQm7TsDVLdMsLqVGtvAdFhNBrKyD57Tab00Mxwrftbpa4bgXB7I599QewVrOR2MPfIw4Ye2EnlJ56upXc1GyS44N&_nc_ht=scontent.fphs2-1.fna&oh=b4124276d027d0b7b813a98671551465&oe=5E2BC2C1,14/10/2019,เพจไม่เป็นทางการ,,30,,,,
