ลำดับที่,เลขที่ใบอนุญาต,ชื่อสถานพยาบาล,ผู้ประกอบกิจการ,ผู้ดำเนินการสถานพยาบาล,ที่อยู่,โทรศัพท์,หมายเหตุ,ประเภท,Facebookpage,Aboutfrompage,เบอร์โทรศัพท์,Urlfacebookpage,UrlProfile,เวลาเช็คอินล่าสุด,สถานะ
11,65101000143,คลินิกแพทย์วิโรจน์,นพ.วิโรจน์     กิจจาวิจิตร,นพ. วิโรจน์     กิจจาวิจิตร,212/83-84 ถ. บรมไตรฯ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,241106,,เวชกรรม,คลีนิกแพทย์วิโรจน์ กิจจาวิจิตร,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B9%82%E0%B8%A3%E0%B8%88%E0%B8%99%E0%B9%8C-%E0%B8%81%E0%B8%B4%E0%B8%88%E0%B8%88%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B4%E0%B8%95%E0%B8%A3/421760501572714,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c124.0.320.320a/p320x320/40600294_2175680572503081_5441033461571780608_n.jpg?_nc_cat=102&_nc_oc=AQnlS9ZXVGoi_ObnAB87rBgP_gvAOzM2hQKy5zkB_HnKe3CGpO73IbkxpF3_CkYX8Z-c-aVxq7YIHCioXMr5t5V-&_nc_ht=scontent.fphs2-1.fna&oh=aaecd49184eab0886eb72b74c51c43de&oe=5DA2776B,27/7/2019,เพจไม่เป็นทางการ
12,65101000343,คลินิกนายแพทย์อดิศักดิ์,นพ. อดิศักดิ์     ศักดิ์ศรีพาณิชย์,นพ. อดิศักดิ์     ศักดิ์ศรีพาณิชย์,425 หมู่ 1 ต. วังทอง อ. วังทอง จ. พิษณุโลก  ,311362,,เวชกรรม,คลินิกนพ.อดิศักดิ์ ศักดิ์ศรีพาณิชย์,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%99%E0%B8%9E%E0%B8%AD%E0%B8%94%E0%B8%B4%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B9%8C-%E0%B8%A8%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B9%8C%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%9E%E0%B8%B2%E0%B8%93%E0%B8%B4%E0%B8%8A%E0%B8%A2%E0%B9%8C/342510692487530,,25/7/2019,เพจไม่เป็นทางการ
13,65101000543,คลินิกศิริพร-สาโรจน์การแพทย์,พญ. ศิริพร     สันติวรวุฒิ,พญ. ศิริพร     สันติวรวุฒิ,37/152 ถ.บรมไตรฯ ต.ในเมือง อ. เมือง จ. พิษณุโลก,241049,,เวชกรรม,,,,,,,
14,65101000643,คลินิกแพทย์สมพร,พญ.สมพร    หวังเรืองสถิตย์,พญ. สมพร    หวังเรืองสถิตย์,183/37 ถ. เอกาทศรถ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,219938,,เวชกรรม,,,,,,,
15,65101000843,คลินิกนายแพทย์สุจิณ,นพ.สุจิณ      สรรพมงคล,นพ.สุจิณ      สรรพมงคล,55/32 ถ. ศรีธรรมฯ ต. ในเมืองอ. เมือง จ. พิษณุโลก ,,,เวชกรรม,คลินิกแพทย์สุจิณ,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%88%E0%B8%B4%E0%B8%93/150139581855312,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/17634421_1096805013757589_4874888807680241524_n.jpg?_nc_cat=109&_nc_oc=AQmUdTxFWxj7QfoX2Zvrmt8bj7L0EQehjOqSt8PhqaMApYEyojpiGzDpRpRq7cwcSBGxV0lzekv_y52knDwbV3tO&_nc_ht=scontent.fphs2-1.fna&oh=39fd71b71d48ef6d00ce63567c79d9ad&oe=5DEADB88,24/4/2019,เพจไม่เป็นทางการ
16,65101000344,คลินิกนายแพทย์สุรพงศ์,นพ.สุรพงศ์     สุขุปัญญารักษ์,นพ.สุรพงศ์     สุขุปัญญารักษ์,14/5 ถ. ราเมศวร ต. ในเมือง อ. เมือง จ. พิษณุโลก,301782,,เวชกรรม,,,,,,,
17,65101000844,คลินิกแพทย์เกษม,นพ. เกษม      เวชคุปต์,นพ. เกษม      เวชคุปต์,195 ถ. พุทธบูชา ต.ในเมือง อ. เมือง จ. พิษณุโลก,252713,,เวชกรรม,,,,,,,
18,65101001144,คลินิกแพทย์พัลลภ-นุสรา 1,นางนุสรา    พงษ์สุทธิรักษ์,นพ. พัลลภ    พงษ์สุทธิรักษ์,34/15 ถ. สุรสีห์ ต. ในเมือง อ. เมือง จ. พิษณุโลก ,225445,,เวชกรรม,คลีนิคแพทย์พัลลภ-นุสรา,สูตินรีแพทย์,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%9E%E0%B8%B1%E0%B8%A5%E0%B8%A5%E0%B8%A0-%E0%B8%99%E0%B8%B8%E0%B8%AA%E0%B8%A3%E0%B8%B2/338025823274916,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c53.0.320.320a/p320x320/57253512_2289717027936863_4329042681763201024_n.jpg?_nc_cat=102&_nc_oc=AQntFSCb66E_Wsy8ZrcwmxnVl0YLuuGcN0EtLIJLSDoqTw9PrruF8yJua8yRacj4hbWkzQ8ZouVaDM4G312i260A&_nc_ht=scontent.fphs2-1.fna&oh=34f9898120b0440d82d7b8c757141ef0&oe=5DB45E94,27/7/2019,เพจไม่เป็นทางการ
19,65101001244,คลินิกแพทย์โชคดี,นพ.โชคดี     จุลภาคี,นพ. โชคดี     จุลภาคี,34/24 ถ. สุรสีห์ ต.ในเมือง อ. เมือง จ. พิษณุโลก,,,เวชกรรม,คลินิกแพทย์โชคดี,ศูนย์การแพทย์,081 532 3044,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B9%82%E0%B8%8A%E0%B8%84%E0%B8%94%E0%B8%B5/279856595788768,,14/4/2019,เพจไม่เป็นทางการ
20,65101000745,คลินิกนายแพทย์ธงชัย,นพ.ธงชัย      พลศรีสุทธิกุล,นพ.ธงชัย      พลศรีสุทธิกุล,70 ถ. พญาลิไท ต.ในเมือง อ. เมือง จ. พิษณุโลก,259321,,เวชกรรม,,,,,,,
21,65101000346,คลินิกแพทย์จีรนันท์-สันติ,พญ.จีรนันท์ วีรกุล,พญ.จีรนันท์ จีรกุล,74 ถ.ราเมศวร อ.เมือง จ.พิษณุโลก ,210764,,เวชกรรม,คลีนิคแพทย์จีรนันท์ - สันติ,ศูนย์การแพทย์,055 210 764,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%88%E0%B8%B5%E0%B8%A3%E0%B8%99%E0%B8%B1%E0%B8%99%E0%B8%97%E0%B9%8C-%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%95%E0%B8%B4/683325731687214,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.124.320.320a/p320x320/48051530_1791004027712701_7077298392258314240_n.jpg?_nc_cat=111&_nc_oc=AQmJMxUwYUhu2KXqeCgB-KAN0Bt49dsvVS3FoLwpUIMvx_3Kzt2ojPbb-noDJWX7K6myAhwFKYU8ZCDYuOpsx-3C&_nc_ht=scontent.fphs2-1.fna&oh=b36d4a859f43f239fc931024326f94ed&oe=5DA40715,26/6/2019,เพจไม่เป็นทางการ
22,65101000247,คลินิกขจรการแพทย์1,นพ.ขจร สุนทราติวัฒน์,นพ.ขจร สุนทราติวัฒน์,59/58 ถ.ศรีธรรมไตรปิฎก อ.เมือง จ.พิษณุโลก,232388,,เวชกรรม,คลินิกขจรการแพทย์1,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%82%E0%B8%88%E0%B8%A3%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C1/180626172759536,,20/7/2019,เพจไม่เป็นทางการ
23,65101000447,คลินิกเวชกรรมแพทย์หญิงพิริยา,พญ.พิริยา ถนอมรัตน์,พญ.พิริยา ถนอมรัตน์,34-34/1 ถ.เจ้าพระยาสุรสีห์ อ.เมือง จ.พิษณุโลก ,232266,,เวชกรรม,คลินิก หมอพิริยาสูตินรีเวชกรรม,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%9E%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%A2%E0%B8%B2%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%B4%E0%B8%99%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A7%E0%B8%8A%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1/481026565366960,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c0.53.320.320a/p320x320/33693117_1687103228010181_5853412891071348736_n.jpg?_nc_cat=103&_nc_oc=AQlBXr9xOTG6eG_nyoxY-jUdmk7LPiAXJtUdmszIYbE91NWhVFDTuqMj8crCpidiUg8kdeRbhGqrASECYDvbBIFH&_nc_ht=scontent.fphs2-1.fna&oh=2ea11f792c86505cdf1fe58fae63f294&oe=5DB269C4,27/7/2019,เพจไม่เป็นทางการ
24,65101001047,คลินิกแพทย์วิบูล,นพ. วิบูลย์ อุทัยแสงสุข,นพ. วิบูลย์ อุทัยแสงสุข,428/4 ม.4 ต.วัดโบสถ์ อ.วัดโบสถ์ จ.พิษณุโลก ,,,เวชกรรม,,,,,,,
25,65101000258,คลินิกพรสวรรค์-ประเสริฐการแพทย์,นพ.ประเสริฐ เจียประเสริฐ,นพ.ประเสริฐ เจียประเสริฐ,199/2 ถ.บรมไตรโลกนารถ ต.ในเมือง อ.เมือง จ.พิษณุโลก ,259323,,เวชกรรม,คลีกนิกหมอประเสริฐ-พรสวรรค์,,055 259 323,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%81%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%90-%E0%B8%9E%E0%B8%A3%E0%B8%AA%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%84%E0%B9%8C/773259602845842,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/23843652_1383600215096273_1302457345781745206_n.jpg?_nc_cat=103&_nc_oc=AQkbHjiaa3ea_FKu6-H6bHj8-HYPlz1eRGmvNp1v0koD8a8Lr87vDT0uhOG9hdSTH53YOSDbBMtpNwp5SZQGwEMK&_nc_ht=scontent.fphs2-1.fna&oh=9dc69dc10ff7ea664d227c71f189ccdb&oe=5DA6D0E9,27/7/2019,เพจไม่เป็นทางการ
26,65101000748,คลินิกแพทย์สุจรี,พญ.สุจรี กุหลาบเพชร,พญ.สุจรี กุหลาบเพชร,145/90-91 ม.1  ต.สมอแข อ.เมือง จ.พิษณุโลก,,,เวชกรรม,คลินิกแพทย์สุจรี รับบัตรประกันสังคม รพ.พุทธชินราช,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%88%E0%B8%A3%E0%B8%B5-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%9A%E0%B8%B1%E0%B8%95%E0%B8%A3%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%AA%E0%B8%B1%E0%B8%87%E0%B8%84%E0%B8%A1-%E0%B8%A3%E0%B8%9E%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%8A%E0%B8%B4%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%8A/213398329060781,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/c124.0.320.320a/p320x320/13903171_10154346403779593_3743002371748176232_n.jpg?_nc_cat=101&_nc_oc=AQlOoVFQ4PPaMSqyFOpXI2PNB8w112DLkB-alD9G669wARMszQ80SgXIiENQEJTdoZAY8JgAa_1EGwpH-UiCfkfZ&_nc_ht=scontent.fphs2-1.fna&oh=9d7ec8605b5ab6156a74e8b496b27f39&oe=5DEA7C7C,8/6/2019,เพจไม่เป็นทางการ
27,65101001149,คลินิกแพทย์สาวิตรี,พญ.สาวิตรี  ตันเจริญ,พญ.สาวิตรี  ตันเจริญ,209/66 ถ.บรมไตรโลกนารถ ต.ในเมือง อ.เมือง จ.พิษณุโลก ,055-219344,,เวชกรรม,คลินิกแพทย์สาวิตรี,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AA%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%95%E0%B8%A3%E0%B8%B5/316268119169755,,25/12/2018,เพจไม่เป็นทางการ
28,65101000450,สี่แยกคลินิกการแพทย์,นพ.ทรงยศ สรรพมงคล,นพ.ทรงยศ สรรพมงคล,204/1 ถ.ประชาอุทิศ ต.ในเมือง อ.เมือง จ.พิษณุโลก ,243734,,เวชกรรม,,,,,,,
29,65101000550,คลินิกแพทย์ชินพัฒน์-แพทย์ปฐม,นพ.ชินพัฒน์ โภคศิริ,นพ.ชินพัฒน์ โภคศิริ,99/24 ถ.พระองค์ดำ ต.ในเมือง อ.เมือง จ.พิษณุโลก ,,,เวชกรรม,คลินิกแพทย์ชินพัฒน์-แพทย์ปฐม,,055 282 718,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%8A%E0%B8%B4%E0%B8%99%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B9%8C-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%9B%E0%B8%90%E0%B8%A1/233743436640747?rf=1360085014061858,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/11407091_10204329184049326_7912388541072879669_n.jpg?_nc_cat=111&_nc_oc=AQmFqBFhAiH1TPvrZT04oaR47OpG-_cfVfQE_i6WvRhCMhBToxc-g0F7jX8C_2OSzLd3dpuEftfuLCg6Cr4V18Mn&_nc_ht=scontent.fphs2-1.fna&oh=3206e8825a9bc0700f42efaa952a75d8&oe=5DB3D7D5,27/7/2019,เพจไม่เป็นทางการ
30,65101000850,คลินิกนายแพทย์สุจิณ 2,นพ.สุจิณ      สรรพมงคล,นพ.สุจิณ      สรรพมงคล,80/309 ถ.พระร่วง ต.ในเมือง อ.เมือง จ.พิษณุโลก ,,,เวชกรรม,คลินิกแพทย์สุจิณ,,,https://www.facebook.com/pages/%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%81%E0%B8%9E%E0%B8%97%E0%B8%A2%E0%B9%8C%E0%B8%AA%E0%B8%B8%E0%B8%88%E0%B8%B4%E0%B8%93/150139581855312?__tn__=%2CdHH-R-R&eid=ARDk4DyUYTfNsqyTNeotlVMiYNZFZioCHANOWfn3dEXvwjzq13k3XVc2qO40o3XkCkkM1S3cqUGLIq-6,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-1/p320x320/17634421_1096805013757589_4874888807680241524_n.jpg?_nc_cat=109&_nc_oc=AQmUdTxFWxj7QfoX2Zvrmt8bj7L0EQehjOqSt8PhqaMApYEyojpiGzDpRpRq7cwcSBGxV0lzekv_y52knDwbV3tO&_nc_ht=scontent.fphs2-1.fna&oh=39fd71b71d48ef6d00ce63567c79d9ad&oe=5DEADB88,13/7/2019,เพจไม่เป็นทางการ
31,65101000950,พิษณุโลกเอ็ม อาร์ ไอ คลินิกเวชกรรม,บริษัทพิษณุโลก พี.ซี. อิมเมจจิ้ง เซนเตอร์ จำกัด,นพ.กัมพล ภูริวรางคกูล,98/27-29 ม.7 ต.วัดจันทร์ อ.เมือง จ.พิษณุโลก ,335114,,เวชกรรม,MRI & DNA Imaging Phitsanulok,ป็นศูนย์สาขาที่ให้บริการด้าน MRI และการตรวจคัดกรองความผิดปกติของโครโมโซม(DNA)ทารกในครรภ์,083 410 2556,https://www.facebook.com/MRIDNAphitsanulok/?__xts__[0]=68.ARBiJ02YQUqLl5Dl5S5NewJSraBLXCoYxwN1mcpYk2FoMqWDKOiVTPjY4lMLClu3mEA4HwaJM47GVhpE_wVMhUR2g4A5t8TvjknyxdnJIcHFXTogEom2k3uCxTP9_p_-e6DlLaHIbWbAUa2bt95zNARbHMEHwtIZl9nJ21zieNLOpiKls7ezvHVSxAf43r3OUKGrwfNrx6Ra2MNslQzCh5ls0GH1-j5Pf6NeEUHW0FFThBhJhlslSyOYxdNLF1RbDDHG8IRlnLmn5jlWbRlf5E9Vm7eLOfjYGLkq17sonaNtw1YVww0B2UoPojIyDr901tOwiLoL7No0pXTHFmXpknvm,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/15391033_1759789484275273_810164797470577877_n.jpg?_nc_cat=106&_nc_oc=AQkfGQrVs9vUjfXSOyJeb6RjSsr8DM0Us8CVIMIMpfd_PN4Qlsy6a8nvDUu-zmghdX-60ZgO3K7sYnJQplI7NltF&_nc_ht=scontent.fphs2-1.fna&oh=8388c3e565a33329fdc48a9bb8933936&oe=5DDC83BC,19/2/2017,เพจทางการ
32,65101000151,คลินิกชินภัทร์การแพทย์,นพ.ชินภัทร์ จิระวรพงศ์,นพ.ชินภัทร์ จิระวรพงศ์,26/136 ถ.ชาญเวชกิจ ต.ในเมือง อ.เมือง จ.พิษณุโลก,,,เวชกรรม,,,,,,,
33,65101000251,คลินิกแพทย์วีระพันธ์,ดาวัลย์  สุวรรณนามัย,นพ.วีระพันธ์ สุวรรณามัย,49/42 ถ.ชาญเวชกิจ ต.ในเมือง อ.เมือง จ.พิษณุโลก ,,,เวชกรรม,คลินิกแพทย์วีระพันธ์ โรคสมองและระบบประสาท,เรื่องเล่าโดยหมอใจดี ที่ท่านได้อ่านแล้วจะดีใจ,098 814 7440,https://www.facebook.com/dr.veerapun/,https://scontent.fphs2-1.fna.fbcdn.net/v/t1.0-9/26168960_1732740273463407_5209463284967609555_n.jpg?_nc_cat=107&_nc_oc=AQmUsFeTU-SyQxYbTjf9lD61ZqadT5p0wRYhWM6EtBTefm9wH8QRd5VPmAYBoKsfzyPLX0lqMfN9Cs04YW3foooR&_nc_ht=scontent.fphs2-1.fna&oh=5a59c6afae28b84c36d91107bf7ab33e&oe=5DEC01B7,15/7/2019,เพจทางการ
